,RateCodeID,RatecodeID,VendorID,dropoff_latitude,dropoff_longitude,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_latitude,pickup_longitude,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
20,1.0,,1,40.733753204345696,-73.99082946777342,0.5,12.0,0.3,0.5,1,2,40.758636474609375,-73.98966217041014,N,0.0,0.0,13.3,2015-01-08 20:46:11,2015-01-08 20:30:28,2.3
21,1.0,,1,40.78229522705078,-73.95389556884766,0.5,16.0,0.3,0.5,1,2,40.74491882324219,-73.99879455566406,N,0.0,0.0,17.3,2015-01-16 20:39:24,2015-01-16 20:20:38,4.2
22,1.0,,1,40.71935272216797,-74.0019302368164,0.5,13.0,0.3,0.5,1,2,40.675926208496094,-74.00093078613281,N,0.0,0.0,14.3,2015-01-26 05:38:49,2015-01-26 05:29:48,4.1
23,1.0,,2,40.70987701416016,-73.9620590209961,0.0,11.0,0.3,0.5,6,2,40.7079963684082,-74.00434875488281,N,0.0,0.0,11.8,2015-01-01 13:30:35,2015-01-01 13:20:58,3.02
24,1.0,,2,40.77635192871094,-73.97618865966798,0.0,9.0,0.3,0.5,5,2,40.78803634643555,-73.95572662353516,N,0.0,0.0,9.8,2015-01-19 14:12:03,2015-01-19 14:02:57,1.91
25,1.0,,1,40.788482666015625,-73.94344329833984,0.0,16.5,0.0,0.5,1,2,40.743412017822266,-73.9187774658203,N,0.0,0.0,17.3,2015-01-01 12:01:14,2015-01-01 11:48:26,5.2
26,1.0,,2,40.76481628417969,-73.9846954345703,0.0,8.0,0.3,0.5,1,2,40.75598526000977,-73.99057006835938,N,0.0,0.0,8.8,2015-01-19 19:26:34,2015-01-19 19:16:40,1.13
27,1.0,,2,40.73503112792969,-73.99144744873048,0.0,10.0,0.3,0.5,1,2,40.756141662597656,-73.9906692504883,N,0.0,0.0,10.8,2015-01-05 07:29:51,2015-01-05 07:19:15,2.31
28,1.0,,2,40.78274917602539,-73.95323181152342,0.0,4.5,0.3,0.5,1,2,40.77490997314453,-73.9569091796875,N,0.0,0.0,5.3,2015-01-16 12:16:19,2015-01-16 12:12:48,0.8
29,1.0,,2,40.748847961425774,-73.99229431152342,0.0,6.5,0.3,0.5,1,1,40.74119186401367,-73.98160552978516,N,1.95,0.0,9.25,2015-01-15 06:29:10,2015-01-15 06:22:04,0.99
30,1.0,,1,40.76134872436523,-73.96067810058595,0.5,10.5,0.3,0.5,1,1,40.7363166809082,-73.98912811279298,N,2.35,0.0,14.15,2015-01-11 02:34:06,2015-01-11 02:23:24,2.6
31,1.0,,1,40.74805450439453,-73.98936462402342,0.5,7.0,0.3,0.5,1,2,40.74577713012695,-73.97792053222656,N,0.0,0.0,8.3,2015-01-22 22:30:05,2015-01-22 22:21:51,0.9
32,1.0,,2,40.74995040893555,-73.98133087158203,0.0,8.0,0.3,0.5,2,1,40.73566818237305,-73.98539733886719,N,1.6,0.0,10.4,2015-01-08 09:58:39,2015-01-08 09:49:12,1.29
33,1.0,,1,40.774749755859375,-73.9573974609375,0.0,26.5,0.3,0.5,1,1,40.7143669128418,-74.00557708740234,N,5.45,0.0,32.75,2015-01-07 11:23:34,2015-01-07 10:52:24,7.0
34,1.0,,2,40.73062133789063,-74.0004653930664,1.0,8.5,0.3,0.5,1,1,40.74392318725585,-73.98373413085938,N,1.9,0.0,12.2,2015-01-09 17:25:25,2015-01-09 17:15:36,1.66
35,1.0,,2,40.783180236816406,-73.97820281982422,0.5,11.5,0.3,0.5,1,1,40.759071350097656,-73.97029113769531,N,2.4,0.0,15.2,2015-01-15 20:21:40,2015-01-15 20:09:43,2.81
36,1.0,,1,40.75787353515625,-73.99227142333984,0.5,3.0,0.3,0.5,1,2,40.75838088989258,-73.9859619140625,N,0.0,0.0,4.3,2015-01-16 20:03:49,2015-01-16 20:02:24,0.1
37,1.0,,1,40.77176284790039,-73.9821014404297,0.5,13.0,0.3,0.5,1,1,40.79909133911133,-73.94105529785155,N,2.5,0.0,16.8,2015-01-09 20:14:07,2015-01-09 20:01:46,3.6
38,1.0,,2,40.76070785522461,-73.99386596679686,0.0,9.0,0.3,0.5,1,2,40.744911193847656,-74.00605773925781,N,0.0,0.0,9.8,2015-01-08 14:51:43,2015-01-08 14:41:19,1.36
39,1.0,,2,40.71940612792969,-73.99727630615234,0.0,11.5,0.3,0.5,1,1,40.7478904724121,-73.9848403930664,N,0.0,0.0,12.3,2015-01-16 13:53:23,2015-01-16 13:38:20,2.39
40,1.0,,2,40.69465637207031,-73.9551773071289,0.5,13.5,0.3,0.5,6,1,40.72392654418945,-73.99259948730467,N,2.8,0.0,17.6,2015-01-14 23:19:58,2015-01-14 23:06:51,3.63
41,1.0,,2,40.7258186340332,-73.99745178222656,1.0,28.0,0.3,0.5,1,1,40.779121398925774,-73.96227264404298,N,5.96,0.0,35.76,2015-01-29 18:10:36,2015-01-29 17:30:04,6.57
42,1.0,,1,40.75963973999024,-73.97959899902342,0.0,5.0,0.3,0.5,1,2,40.75684356689453,-73.98995208740234,N,0.0,0.0,5.8,2015-01-26 08:04:53,2015-01-26 08:00:49,0.8
43,1.0,,2,40.73291015625,-74.00418853759766,0.5,15.0,0.3,0.5,1,2,40.78160095214844,-73.9757080078125,N,0.0,0.0,16.3,2015-01-15 20:49:41,2015-01-15 20:32:27,3.9
44,1.0,,2,40.76666641235352,-73.97877502441406,0.5,6.5,0.3,0.5,1,2,40.75100708007813,-73.98400115966798,N,0.0,0.0,7.8,2015-01-15 23:48:39,2015-01-15 23:43:37,1.44
